iter	Passed	Remaining
795	46535	8301
796	46594	8243
797	46656	8185
798	46712	8126
799	46786	8070
800	46842	8011
801	46896	7952
802	46950	7893
803	47003	7833
804	47058	7774
805	47114	7715
806	47169	7656
807	47228	7598
808	47292	7541
809	47353	7483
810	47411	7424
811	47471	7366
812	47532	7308
813	47590	7249
814	47647	7191
815	47707	7132
816	47766	7074
817	47826	7016
818	47883	6957
819	47941	6898
820	47998	6840
821	48053	6781
822	48112	6722
823	48171	6664
824	48229	6605
825	48287	6547
826	48340	6488
827	48395	6429
828	48448	6370
829	48505	6311
830	48564	6253
831	48622	6194
832	48684	6136
833	48744	6078
834	48800	6019
835	48855	5960
836	48914	5902
837	48966	5843
838	49021	5784
839	49075	5725
840	49130	5666
841	49183	5607
842	49240	5549
843	49301	5490
844	49358	5432
845	49415	5373
846	49468	5314
847	49525	5256
848	49582	5197
849	49636	5138
850	49688	5079
851	49749	5021
852	49805	4963
853	49865	4904
854	49919	4845
855	49974	4787
856	50034	4729
857	50103	4671
858	50163	4613
859	50224	4555
860	50286	4497
861	50347	4438
862	50405	4380
863	50462	4322
864	50517	4263
865	50570	4204
866	50626	4145
867	50680	4087
868	50734	4028
869	50787	3969
870	50841	3910
871	50894	3852
872	50946	3793
873	51000	3734
874	51060	3676
875	51123	3618
876	51186	3560
877	51251	3502
878	51315	3444
879	51374	3386
880	51432	3327
881	51492	3269
882	51559	3211
883	51624	3153
884	51680	3094
885	51736	3036
886	51792	2977
887	51845	2919
888	51900	2860
889	51956	2802
890	52013	2743
891	52068	2685
892	52126	2626
893	52182	2568
894	52238	2509
895	52292	2451
896	52346	2392
897	52402	2334
898	52457	2275
899	52512	2217
900	52567	2158
901	52621	2100
902	52675	2041
903	52731	1983
904	52786	1924
905	52841	1866
906	52895	1807
907	52950	1749
908	53003	1690
909	53059	1632
910	53113	1574
911	53166	1515
912	53222	1457
913	53275	1398
914	53329	1340
915	53385	1282
916	53439	1223
917	53492	1165
918	53544	1107
919	53601	1048
920	53655	990
921	53708	932
922	53761	873
923	53817	815
924	53870	757
